date,equity,ret
2018-10-01,100000.0,0.0
2018-10-02,100000.0,0.0
2018-10-03,100000.0,0.0
2018-10-04,100000.0,0.0
2018-10-05,100000.0,0.0
2018-10-08,100000.0,0.0
2018-10-09,100000.0,0.0
2018-10-10,100000.0,0.0
2018-10-11,100000.0,0.0
2018-10-12,100000.0,0.0
2018-10-15,100000.0,0.0
2018-10-16,100000.0,0.0
2018-10-17,100000.0,0.0
2018-10-18,100000.0,0.0
2018-10-19,100000.0,0.0
2018-10-22,100000.0,0.0
2018-10-23,100000.0,0.0
2018-10-24,100000.0,0.0
2018-10-25,100000.0,0.0
2018-10-26,100000.0,0.0
2018-10-29,100000.0,0.0
2018-10-30,100000.0,0.0
2018-10-31,100000.0,0.0
2018-11-01,100000.0,0.0
2018-11-02,100000.0,0.0
2018-11-05,100000.0,0.0
2018-11-06,100000.0,0.0
2018-11-07,100000.0,0.0
2018-11-08,100000.0,0.0
2018-11-09,100000.0,0.0
2018-11-12,100000.0,0.0
2018-11-13,100000.0,0.0
2018-11-14,100000.0,0.0
2018-11-15,100000.0,0.0
2018-11-16,100000.0,0.0
2018-11-19,100000.0,0.0
2018-11-20,100000.0,0.0
2018-11-21,100000.0,0.0
2018-11-23,100000.0,0.0
2018-11-26,100000.0,0.0
2018-11-27,100000.0,0.0
2018-11-28,100000.0,0.0
2018-11-29,100000.0,0.0
2018-11-30,100000.0,0.0
2018-12-03,100000.0,0.0
2018-12-04,100000.0,0.0
2018-12-06,100000.0,0.0
2018-12-07,100000.0,0.0
2018-12-10,100000.0,0.0
2018-12-11,100000.0,0.0
2018-12-12,100000.0,0.0
2018-12-13,100000.0,0.0
2018-12-14,100000.0,0.0
2018-12-17,100000.0,0.0
2018-12-18,100000.0,0.0
2018-12-19,100000.0,0.0
2018-12-20,100000.0,0.0
2018-12-21,100000.0,0.0
2018-12-24,100000.0,0.0
2018-12-26,100000.0,0.0
2018-12-27,100000.0,0.0
2018-12-28,100000.0,0.0
2018-12-31,100000.0,0.0
2019-01-02,100000.0,0.0
2019-01-03,100000.0,0.0
2019-01-04,100000.0,0.0
2019-01-07,100000.0,0.0
2019-01-08,100000.0,0.0
2019-01-09,100000.0,0.0
2019-01-10,100000.0,0.0
2019-01-11,100000.0,0.0
2019-01-14,100000.0,0.0
2019-01-15,100000.0,0.0
2019-01-16,100000.0,0.0
2019-01-17,100000.0,0.0
2019-01-18,100000.0,0.0
2019-01-22,100000.0,0.0
2019-01-23,100000.0,0.0
2019-01-24,100000.0,0.0
2019-01-25,100000.0,0.0
2019-01-28,100000.0,0.0
2019-01-29,100000.0,0.0
2019-01-30,100000.0,0.0
2019-01-31,100000.0,0.0
2019-02-01,100000.0,0.0
2019-02-04,100000.0,0.0
2019-02-05,100000.0,0.0
2019-02-06,100000.0,0.0
2019-02-07,100000.0,0.0
2019-02-08,100000.0,0.0
2019-02-11,100000.0,0.0
